abstract,lead_paragraph,news_desk,section_name,subsection_name,time,subject
"Speculating on the unlikely possibility of four separate winners in the four early states.","First, it was the fears of a contested convention. Then came the fretting about the strength of the field. ","First, it was the fears of a contested convention. Then came the fretting about the strength of the field. ","U.S.","Politics","2019-12-09T23:56:30+0000","democrat"
"Four white front-runners, three of them 70 or older. What is this primary telling us?","Kamala Harris folded her tent, and on that patch of ground, many flimsy theories bloomed. ","Kamala Harris folded her tent, and on that patch of ground, many flimsy theories bloomed. ","Opinion","Sunday Review","2019-12-07T19:30:07+0000","democrat"
"Rob Sand figured out how to win statewide office as a Democrat in Iowa, and now the presidential contenders are seeking his counsel — that is, when he isn’t deer hunting with bow and arrow.","CARROLL, Iowa — When I asked Rob Sand, the Iowa state auditor, if he could recommend fascinating Iowans to profile, he suggested himself. Then he suggested we go deer hunting.","CARROLL, Iowa — When I asked Rob Sand, the Iowa state auditor, if he could recommend fascinating Iowans to profile, he suggested himself. Then he suggested we go deer hunting.","U.S.","Politics","2019-12-07T10:00:14+0000","democrat"
"The president has made a trade agreement that caters to his opposition — and that’s why it stands a chance of passing Congress.","WASHINGTON — House Democrats return to Washington on Monday facing a difficult choice: Should they hand President Trump a victory in the midst of a heated impeachment battle or walk away from one of the most progressive trade pacts ever negotiated by either party?","WASHINGTON — House Democrats return to Washington on Monday facing a difficult choice: Should they hand President Trump a victory in the midst of a heated impeachment battle or walk away from one of the most progressive trade pacts ever negotiated by either party?","U.S.","Politics","2019-12-01T19:27:56+0000","democrat"
"A member of the House Intelligence Committee, Mr. Heck said in a blog post that the impeachment hearings had left him “weary.”","Representative Denny Heck, Democrat of Washington, said on Wednesday that he would not run for re-election in November in part because the impeachment hearings, in which he has participated as a member of the House Intelligence Committee, had left him “weary.”","Representative Denny Heck, Democrat of Washington, said on Wednesday that he would not run for re-election in November in part because the impeachment hearings, in which he has participated as a member of the House Intelligence Committee, had left him “weary.”","U.S.",,"2019-12-04T20:53:22+0000","democrat"
"Starting with Nancy Pelosi, many party leaders have failed to make labor enough of a priority, which hurts their coalition.","Organized labor is the lifeblood of liberal politics in the United States. Unions backed Franklin D. Roosevelt’s New Deal reforms, gave critical support to the fight for the Great Society and powered Democratic political victories throughout the 20th century. Even now, the Democratic Party is generally strongest in states where organized labor has the most influence.","Organized labor is the lifeblood of liberal politics in the United States. Unions backed Franklin D. Roosevelt’s New Deal reforms, gave critical support to the fight for the Great Society and powered Democratic political victories throughout the 20th century. Even now, the Democratic Party is generally strongest in states where organized labor has the most influence.","Opinion",,"2019-12-04T11:00:08+0000","democrat"
"Led by Elizabeth Warren, presidential candidates and liberal economists are pushing an unorthodox “pro-growth” argument for raising taxes on the rich.","WASHINGTON — Elizabeth Warren is leading a liberal rebellion against a long-held economic view that large tax increases slow economic growth, trying to upend Democratic policymaking in the way supply-side conservatives changed Republican orthodoxy four decades ago. ","WASHINGTON — Elizabeth Warren is leading a liberal rebellion against a long-held economic view that large tax increases slow economic growth, trying to upend Democratic policymaking in the way supply-side conservatives changed Republican orthodoxy four decades ago. ","Business Day",,"2019-12-05T10:00:15+0000","democrat"
"From Russia to Ukraine, the House needs to show the president’s pattern of corruption.","At Wednesday’s Judiciary Committee hearing on impeachment, the witness called by Republicans, the George Washington University law professor Jonathan Turley, gave a disingenuous, hackish performance. ","At Wednesday’s Judiciary Committee hearing on impeachment, the witness called by Republicans, the George Washington University law professor Jonathan Turley, gave a disingenuous, hackish performance. ","Opinion",,"2019-12-06T01:15:14+0000","democrat"
"The 2020 Democratic field was historically diverse. But the next debate won’t look like it.","We’ve talked a lot in this newsletter about the historic diversity of the Democratic primary campaign. At its peak, the field boasted six women, two black senators, a Latino former cabinet secretary, an American Samoan member of Congress and an Asian-American businessman.","We’ve talked a lot in this newsletter about the historic diversity of the Democratic primary campaign. At its peak, the field boasted six women, two black senators, a Latino former cabinet secretary, an American Samoan member of Congress and an Asian-American businessman.","U.S.","Politics","2019-12-04T23:46:41+0000","democrat"
"At the House Judiciary Committee hearing, Democrats stuck to repeating the facts of their case as Republicans denounced impeachment as a misguided partisan process.","Democrats and Republicans who squared off at Monday’s impeachment hearing in the House Judiciary Committee had one remarkable point of agreement: Both said that there are four key facts at the heart of the debate about whether President Trump should be impeached by the House and removed from office. ","Democrats and Republicans who squared off at Monday’s impeachment hearing in the House Judiciary Committee had one remarkable point of agreement: Both said that there are four key facts at the heart of the debate about whether President Trump should be impeached by the House and removed from office. ","U.S.","Politics","2019-12-09T12:30:06+0000","democrat"
"In a volatile primary with no true front-runner, Democrats face the prospect of a monthslong delegate battle that would also feature a lengthy public airing of the party’s ideological fissures.","MASON CITY, Iowa — With just under two months until the Iowa caucuses, the already-volatile Democratic presidential race has grown even more unsettled, setting the stage for a marathon nominating contest between the party’s moderate and liberal factions.","MASON CITY, Iowa — With just under two months until the Iowa caucuses, the already-volatile Democratic presidential race has grown even more unsettled, setting the stage for a marathon nominating contest between the party’s moderate and liberal factions.","U.S.","Politics","2019-12-07T10:00:14+0000","democrat"
"In a report intended to counter Democrats’ impeachment case against President Trump, Republicans argued his efforts to get Ukraine to investigate his rivals had nothing to do with politics.","WASHINGTON — House Democrats pressed forward on Monday with the next phase of their impeachment inquiry, putting the final touches on an Intelligence Committee report expected to form the basis of their case that President Trump’s effort to pressure Ukraine to announce investigations of his political rivals was an abuse of power that warrants his removal from office.","WASHINGTON — House Democrats pressed forward on Monday with the next phase of their impeachment inquiry, putting the final touches on an Intelligence Committee report expected to form the basis of their case that President Trump’s effort to pressure Ukraine to announce investigations of his political rivals was an abuse of power that warrants his removal from office.","U.S.","Politics","2019-12-02T20:30:10+0000","democrat"
"The confrontation exposed a deep rift among Democrats in a reliably blue state.","TRENTON, N.J. — The confrontation was brief but explosive, and it laid bare the deepening fault lines within the Democratic Party in one of America’s bluest states.","TRENTON, N.J. — The confrontation was brief but explosive, and it laid bare the deepening fault lines within the Democratic Party in one of America’s bluest states.","New York",,"2019-12-10T08:00:17+0000","democrat"
"As the party reckons with the likelihood of an all-white candidate lineup for the December debate, Cory Booker and Julián Castro see fund-raising gains.","DES MOINES — Senator Cory Booker strode onstage here with a question, one that voters, activists and disgruntled members of the Democratic National Committee are also asking in the wake of Senator Kamala Harris’s sudden departure from the 2020 race.","DES MOINES — Senator Cory Booker strode onstage here with a question, one that voters, activists and disgruntled members of the Democratic National Committee are also asking in the wake of Senator Kamala Harris’s sudden departure from the 2020 race.","U.S.","Politics","2019-12-05T18:07:30+0000","democrat"
"The candidates mostly tempered their criticism of one another and presented a united front on vital issues like climate change.","The Democratic presidential candidates yielded to the furor surrounding the impeachment inquiry in Washington in their primary debate on Wednesday, for the first time training their fire more steadily on President Trump than on one another and presenting a largely united front on vital issues like climate change and abortion rights.","The Democratic presidential candidates yielded to the furor surrounding the impeachment inquiry in Washington in their primary debate on Wednesday, for the first time training their fire more steadily on President Trump than on one another and presenting a largely united front on vital issues like climate change and abortion rights.","U.S.","Politics","2019-11-21T02:44:07+0000","democrat"
"To avoid a disappointing 2020 turnout, the party needs to understand the nuances of the Latino electorate.","By the evidence of the Democratic primary so far, it’s clear that no leading Democratic candidate has any idea of how to engage Latinos. The Latino electorate has always been complex, a reality that Democratic candidates, consultants and election “experts” fail to grasp or simply ignore.","By the evidence of the Democratic primary so far, it’s clear that no leading Democratic candidate has any idea of how to engage Latinos. The Latino electorate has always been complex, a reality that Democratic candidates, consultants and election “experts” fail to grasp or simply ignore.","Opinion",,"2019-11-20T16:00:11+0000","democrat"
"The state’s demographics have been favorable to turn it blue, but destiny is shaped by history, too.","With tonight’s presidential primary debate, Georgia Democrats are breathing a sigh of relief. Finally, they are saying, the national party is recognizing that demographics really are destiny, that Georgia can and should be a central part of any plan to win back the White House and the Senate.","With tonight’s presidential primary debate, Georgia Democrats are breathing a sigh of relief. Finally, they are saying, the national party is recognizing that demographics really are destiny, that Georgia can and should be a central part of any plan to win back the White House and the Senate.","Opinion",,"2019-11-20T11:00:08+0000","democrat"
"Party leaders are describing the health care proposal that appeals to the party’s left as a risky bet that could neutralize one of the Democrats’ prime issues in 2020.","Prominent Democratic leaders are sounding increasingly vocal alarms to try to halt political momentum for “Medicare for all,” opting to risk alienating liberals and deepening the divide in the party rather than enter an election year with a sweeping health care proposal that many see as a liability for candidates up and down the ballot.","Prominent Democratic leaders are sounding increasingly vocal alarms to try to halt political momentum for “Medicare for all,” opting to risk alienating liberals and deepening the divide in the party rather than enter an election year with a sweeping health care proposal that many see as a liability for candidates up and down the ballot.","U.S.","Politics","2019-11-26T10:00:16+0000","democrat"
"The Democratic presidential candidates don’t want to simply defend abortion rights. They want to go on offense.","The Democratic presidential field has coalesced around an abortion rights agenda more far-reaching than anything past nominees have proposed, according to a New York Times survey of the campaigns. The positions reflect a hugely consequential shift on one of the country’s most politically divisive issues.","The Democratic presidential field has coalesced around an abortion rights agenda more far-reaching than anything past nominees have proposed, according to a New York Times survey of the campaigns. The positions reflect a hugely consequential shift on one of the country’s most politically divisive issues.","U.S.","Politics","2019-11-25T10:00:20+0000","democrat"
"A new poll shows 70 percent of Americans believe President Trump was wrong to try to enlist Ukraine to investigate his political rivals. Democratic lawmakers are ratcheting up their rhetoric.","WASHINGTON — House Democrats, confident that public support is growing for their impeachment inquiry as they head into a second week of nationally televised hearings, are sharpening their tone as they make their case that President Trump withheld military aid from Ukraine in a bid to force its leader to investigate his political rivals.","WASHINGTON — House Democrats, confident that public support is growing for their impeachment inquiry as they head into a second week of nationally televised hearings, are sharpening their tone as they make their case that President Trump withheld military aid from Ukraine in a bid to force its leader to investigate his political rivals.","U.S.","Politics","2019-11-19T01:08:53+0000","democrat"
"The 2018 governor’s race in the state was marred by accusations of rampant voter suppression, particularly of black voters.","The fifth Democratic debate in Atlanta brought the spotlight of the presidential primary to Georgia, a state plagued by rampant accusations of voter suppression and unfairly aggressive voter registration purges.","The fifth Democratic debate in Atlanta brought the spotlight of the presidential primary to Georgia, a state plagued by rampant accusations of voter suppression and unfairly aggressive voter registration purges.","U.S.","Politics","2019-11-21T11:00:08+0000","democrat"
"President Trump is refusing to engage and Democrats have concluded they will press ahead anyway, rendering a historic undertaking little more than a foregone conclusion.","WASHINGTON — Almost from the moment that Speaker Nancy Pelosi and her lieutenants decided this fall to pursue the impeachment of President Trump, they made a fateful judgment: If the president intended to do nothing but stonewall and subvert their inquiry, they were not going to be the ones politely sticking to lofty traditions.","WASHINGTON — Almost from the moment that Speaker Nancy Pelosi and her lieutenants decided this fall to pursue the impeachment of President Trump, they made a fateful judgment: If the president intended to do nothing but stonewall and subvert their inquiry, they were not going to be the ones politely sticking to lofty traditions.","U.S.","Politics","2019-12-08T18:39:33+0000","democrat"
"No Democrat in modern times has won the party’s nomination without claiming majorities of black voters, the most crucial voting bloc in South Carolina and an array of delegate-rich states.","Former Vice President Joseph R. Biden Jr. has 154 endorsements from current or former black or Hispanic elected officials. Senator Kamala Harris has 93. Senator Bernie Sanders has 91. Senator Cory Booker has 50. Senator Elizabeth Warren has 43.","Former Vice President Joseph R. Biden Jr. has 154 endorsements from current or former black or Hispanic elected officials. Senator Kamala Harris has 93. Senator Bernie Sanders has 91. Senator Cory Booker has 50. Senator Elizabeth Warren has 43.","U.S.","Politics","2019-11-21T16:03:25+0000","democrat"
"It helps explain Trump.","This article is part of David Leonhardt’s newsletter. You can sign up here to receive it each weekday.","This article is part of David Leonhardt’s newsletter. You can sign up here to receive it each weekday.","Opinion",,"2019-12-06T15:29:15+0000","democrat"
"An army of Democratic lawyers and aides are preparing to formally present the case for impeachment to lawmakers — and the country.","WASHINGTON — Far from any television camera and a half world away from Ukraine, a few dozen Democratic staff aides, lawyers and House members are grinding away this weekend in a loose clump of Capitol Hill offices, the beating heart of the impeachment operation against President Trump. ","WASHINGTON — Far from any television camera and a half world away from Ukraine, a few dozen Democratic staff aides, lawyers and House members are grinding away this weekend in a loose clump of Capitol Hill offices, the beating heart of the impeachment operation against President Trump. ","U.S.",,"2019-12-07T18:25:34+0000","democrat"
"Who vs. what.","This article is part of David Leonhardt’s newsletter. You can sign up here to receive it each weekday.","This article is part of David Leonhardt’s newsletter. You can sign up here to receive it each weekday.","Opinion",,"2019-12-05T13:32:03+0000","democrat"
"In a sharply worded letter, the White House counsel denounced the impeachment inquiry and called on Democrats to end it, or get it over with quickly so it could proceed to a Senate trial.","WASHINGTON — The White House signaled on Friday that it did not intend to mount a defense of President Trump or otherwise participate in the House impeachment proceedings, sending Democrats a sharply worded letter that condemned the process as “completely baseless” and urged them to get it over with quickly.","WASHINGTON — The White House signaled on Friday that it did not intend to mount a defense of President Trump or otherwise participate in the House impeachment proceedings, sending Democrats a sharply worded letter that condemned the process as “completely baseless” and urged them to get it over with quickly.","U.S.","Politics","2019-12-06T21:44:00+0000","democrat"
"Not to mention beat Trump.","Gail Collins: Bret, how do you feel about billionaires? Not personally — I’m sure some of your best friends are billionaires — but as presidential candidates. Ever since Michael Bloomberg started running, there’s been a lot of complaining about rich guys trying to buy the race. Does that worry you, or do you find people like Bloomberg and Tom Steyer to be, um, valuable additions?","Gail Collins: Bret, how do you feel about billionaires? Not personally — I’m sure some of your best friends are billionaires — but as presidential candidates. Ever since Michael Bloomberg started running, there’s been a lot of complaining about rich guys trying to buy the race. Does that worry you, or do you find people like Bloomberg and Tom Steyer to be, um, valuable additions?","Opinion",,"2019-12-10T11:00:08+0000","democrat"
"North Carolina Republicans introduced a new congressional map giving Democrats more potential clout. It’s still not enough, Democrats say, vowing to go back to court.","WASHINGTON — North Carolina’s Republican-controlled legislature, under a court order to throw out its gerrymandered congressional map, on Friday enacted a new one that effectively gives the party eight of the state’s 13 congressional seats instead of the 10 it had before. ","WASHINGTON — North Carolina’s Republican-controlled legislature, under a court order to throw out its gerrymandered congressional map, on Friday enacted a new one that effectively gives the party eight of the state’s 13 congressional seats instead of the 10 it had before. ","U.S.",,"2019-11-16T00:29:48+0000","democrat"
